name,tag,expected,outcome,wall_ms,verdict,detail
github_2839,CORE,^VERIFICATION SUCCESSFUL$,PASS,58,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2839_fail,CORE,^VERIFICATION FAILED$,PASS,56,FAILED,^VERIFICATION FAILED$
github_2843,CORE,^VERIFICATION SUCCESSFUL$,PASS,103,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2843_2,CORE,^VERIFICATION SUCCESSFUL$,PASS,57,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2843_2_fail,CORE,"^Properties\: 2 verified, \✗ 2 failed$",FAIL,56,FAILED,"expected=^Properties\: 2 verified, \✗ 2 failed$"
github_2843_3,CORE,^VERIFICATION SUCCESSFUL$,PASS,99,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2843_4,CORE,^VERIFICATION SUCCESSFUL$,PASS,100,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2843_4_fail,CORE,"^Properties\: 2 verified, \✗ 2 failed$",FAIL,98,FAILED,"expected=^Properties\: 2 verified, \✗ 2 failed$"
github_2843_5,CORE,^ERROR\: Unsupported return type \'string\' detected$,FAIL,57,SUCCESSFUL,expected=^ERROR\: Unsupported return type \'string\' detected$
github_2843_6,CORE,^VERIFICATION SUCCESSFUL$,PASS,52,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2843_7,CORE,^VERIFICATION SUCCESSFUL$,PASS,56,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2843_fail,CORE,^VERIFICATION FAILED$,DIFF,103,SUCCESSFUL,expected=^VERIFICATION FAILED$
github_2879,CORE,^VERIFICATION SUCCESSFUL$,DIFF,58,FAILED,expected=^VERIFICATION SUCCESSFUL$
github_2879_2,CORE,^VERIFICATION SUCCESSFUL$,PASS,53,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2879_2_fail,CORE,^VERIFICATION FAILED$,PASS,55,FAILED,^VERIFICATION FAILED$
github_2879_3,CORE,^VERIFICATION SUCCESSFUL$,PASS,53,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2879_3_fail,CORE,^VERIFICATION FAILED$,PASS,51,FAILED,^VERIFICATION FAILED$
github_2879_4,CORE,^VERIFICATION SUCCESSFUL$,PASS,49,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2879_4_fail,CORE,^VERIFICATION FAILED$,PASS,49,FAILED,^VERIFICATION FAILED$
github_2879_5,CORE,,UNKNOWN,52,SUCCESSFUL,no expected regex
github_2879_5_fail,CORE,,UNKNOWN,51,FAILED,no expected regex
github_2879_6,CORE,,UNKNOWN,53,SUCCESSFUL,no expected regex
github_2879_6_fail,CORE,,UNKNOWN,51,FAILED,no expected regex
github_2879_7,CORE,,UNKNOWN,50,SUCCESSFUL,no expected regex
github_2879_fail,CORE,^VERIFICATION FAILED$,PASS,59,FAILED,^VERIFICATION FAILED$
github_2880,CORE,^VERIFICATION SUCCESSFUL$,CRASH,1191,,signal=6
github_2880_fail,CORE,^VERIFICATION FAILED$,CRASH,2226,,signal=6
github_2881,CORE,^VERIFICATION SUCCESSFUL$,CRASH,3230,,signal=6
github_2881_2,CORE,^VERIFICATION SUCCESSFUL$,PASS,53,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2881_3_fail,CORE,^ERROR: Unsupported expression for \'not in\' operation$,FAIL,51,SUCCESSFUL,expected=^ERROR: Unsupported expression for \'not in\' operation$
github_2881_fail,CORE,^VERIFICATION FAILED$,CRASH,4232,,signal=6
github_2885,CORE,^VERIFICATION SUCCESSFUL$,PASS,56,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2885_2,CORE,^VERIFICATION SUCCESSFUL$,PASS,52,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2885_2_fail,CORE,^VERIFICATION FAILED$,PASS,53,FAILED,^VERIFICATION FAILED$
github_2885_3,CORE,^VERIFICATION SUCCESSFUL$,PASS,62,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2885_3_fail,CORE,^VERIFICATION FAILED$,PASS,53,FAILED,^VERIFICATION FAILED$
github_2885_4_fail,CORE,^VERIFICATION FAILED$,PASS,54,FAILED,^VERIFICATION FAILED$
github_2885_fail,CORE,^VERIFICATION FAILED$,PASS,53,FAILED,^VERIFICATION FAILED$
github_2892,CORE,^VERIFICATION SUCCESSFUL$,PASS,57,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2892_fail,CORE,^VERIFICATION FAILED$,DIFF,55,SUCCESSFUL,expected=^VERIFICATION FAILED$
github_2895,CORE,^VERIFICATION SUCCESSFUL$,PASS,55,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2895_2,CORE,^VERIFICATION SUCCESSFUL$,PASS,82,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2897,CORE,^VERIFICATION SUCCESSFUL$,PASS,110,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2897_2,CORE,^VERIFICATION SUCCESSFUL$,PASS,144,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2897_2_fail,CORE,^VERIFICATION FAILED$,DIFF,154,SUCCESSFUL,expected=^VERIFICATION FAILED$
github_2898,CORE,^VERIFICATION SUCCESSFUL$,PASS,112,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2898_fail,THOROUGH,^VERIFICATION FAILED$,PASS,112,FAILED,^VERIFICATION FAILED$
github_2899,CORE,^VERIFICATION SUCCESSFUL$,PASS,50,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2899_2,CORE,^VERIFICATION SUCCESSFUL$,PASS,49,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2900,CORE,^VERIFICATION SUCCESSFUL$,PASS,80,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2908_1,CORE,,UNKNOWN,53,FAILED,no expected regex
github_2908_2,CORE,^VERIFICATION FAILED$,PASS,73,FAILED,^VERIFICATION FAILED$
github_2909,CORE,^VERIFICATION SUCCESSFUL$,TOERR,57,,exit=6; expected=^VERIFICATION SUCCESSFUL$
github_2909_2,CORE,^VERIFICATION SUCCESSFUL$,PASS,55,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2909_2_fail,CORE,^VERIFICATION FAILED$,PASS,49,FAILED,^VERIFICATION FAILED$
github_2909_fail,CORE,^VERIFICATION FAILED$,PASS,53,FAILED,^VERIFICATION FAILED$
github_2910,CORE,^VERIFICATION SUCCESSFUL$,PASS,49,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2910_2,CORE,^VERIFICATION SUCCESSFUL$,PASS,53,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2910_3,CORE,^VERIFICATION SUCCESSFUL$,PASS,50,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2911,CORE,^VERIFICATION SUCCESSFUL$,PASS,51,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2911_2_fail,CORE,^VERIFICATION FAILED$,PASS,51,FAILED,^VERIFICATION FAILED$
github_2911_3,CORE,^VERIFICATION SUCCESSFUL$,PASS,49,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2911_3_fail,CORE,^VERIFICATION FAILED$,PASS,49,FAILED,^VERIFICATION FAILED$
github_2911_fail,CORE,^VERIFICATION FAILED$,PASS,51,FAILED,^VERIFICATION FAILED$
github_2912,CORE,^VERIFICATION SUCCESSFUL$,PASS,51,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2912_fail,CORE,^VERIFICATION FAILED$,PASS,52,FAILED,^VERIFICATION FAILED$
github_2916,CORE,^VERIFICATION SUCCESSFUL$,PASS,53,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2916_2,CORE,^VERIFICATION SUCCESSFUL$,PASS,56,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2916_3,CORE,^VERIFICATION SUCCESSFUL$,PASS,51,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2916_4,CORE,^VERIFICATION SUCCESSFUL$,DIFF,53,FAILED,expected=^VERIFICATION SUCCESSFUL$
github_2916_fail,CORE,^VERIFICATION FAILED$,PASS,53,FAILED,^VERIFICATION FAILED$
github_2929,CORE,^VERIFICATION SUCCESSFUL$,PASS,75,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2931,CORE,^VERIFICATION SUCCESSFUL$,PASS,84,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2932,THOROUGH,^VERIFICATION SUCCESSFUL$,CRASH,4581,,signal=6
github_2932_2,CORE,^VERIFICATION SUCCESSFUL$,CRASH,5602,,signal=6
github_2932_2_fail,CORE,^VERIFICATION FAILED$,CRASH,6619,,signal=6
github_2932_3,THOROUGH,^VERIFICATION SUCCESSFUL$,DIFF,818,FAILED,expected=^VERIFICATION SUCCESSFUL$
github_2932_3_fail,THOROUGH,^VERIFICATION FAILED$,PASS,843,FAILED,^VERIFICATION FAILED$
github_2932_4,CORE,^VERIFICATION SUCCESSFUL$,DIFF,806,FAILED,expected=^VERIFICATION SUCCESSFUL$
github_2932_4_fail,THOROUGH,^VERIFICATION FAILED$,PASS,811,FAILED,^VERIFICATION FAILED$
github_2932_5,CORE,^VERIFICATION SUCCESSFUL$,PASS,56,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2932_6_fail,THOROUGH,^VERIFICATION FAILED$,PASS,820,FAILED,^VERIFICATION FAILED$
github_2932_fail,THOROUGH,^VERIFICATION FAILED$,CRASH,6776,,signal=6
github_2933,CORE,^VERIFICATION SUCCESSFUL$,PASS,48,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2933_fail,CORE,^VERIFICATION FAILED$,PASS,48,FAILED,^VERIFICATION FAILED$
github_2934,CORE,^VERIFICATION SUCCESSFUL$,PASS,49,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2934_2,CORE,^VERIFICATION SUCCESSFUL$,PASS,48,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2934_2_fail,CORE,^VERIFICATION FAILED$,PASS,49,FAILED,^VERIFICATION FAILED$
github_2934_3,CORE,^VERIFICATION SUCCESSFUL$,PASS,48,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2934_3_fail,CORE,^VERIFICATION FAILED$,PASS,52,FAILED,^VERIFICATION FAILED$
github_2934_4_fail,CORE,^VERIFICATION FAILED$,PASS,49,FAILED,^VERIFICATION FAILED$
github_2934_fail,CORE,^VERIFICATION FAILED$,PASS,50,FAILED,^VERIFICATION FAILED$
github_2935,CORE,^VERIFICATION SUCCESSFUL$,PASS,141,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2937,CORE,^VERIFICATION SUCCESSFUL$,PASS,58,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
github_2937_2,CORE,^VERIFICATION SUCCESSFUL$,DIFF,51,FAILED,expected=^VERIFICATION SUCCESSFUL$
github_2937_2_fail,CORE,^VERIFICATION FAILED$,PASS,51,FAILED,^VERIFICATION FAILED$
github_2937_3,CORE,^VERIFICATION SUCCESSFUL$,PASS,53,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
