# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 67K of event 'cycles:u'
# Event count (approx.): 200142690850
#
# Children      Self  Command  Shared Object                          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ........  .......  .....................................  ..................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.76%     0.00%  cvc5     cvc5                                   [.] 0x000000000141f391
     0.74%     0.00%  cvc5     cvc5                                   [.] 0x000000000090900c
     0.73%     0.00%  cvc5     cvc5                                   [.] 0x0000000001066edf
     0.73%     0.00%  cvc5     cvc5                                   [.] 0x0000000001420c90
     0.73%     0.00%  cvc5     cvc5                                   [.] 0x00000000009f56a9
     0.73%     0.73%  cvc5     cvc5                                   [.] 0x000000000033b221
     0.73%     0.00%  cvc5     cvc5                                   [.] 0x000000000073b221
     0.73%     0.00%  cvc5     cvc5                                   [.] 0x000000000090adee
     0.72%     0.72%  cvc5     cvc5                                   [.] 0x00000000014758cb
     0.72%     0.00%  cvc5     cvc5                                   [.] 0x00000000018758cb
     0.71%     0.71%  cvc5     cvc5                                   [.] 0x000000000101ee23
     0.71%     0.00%  cvc5     cvc5                                   [.] 0x000000000141ee23
     0.71%     0.00%  cvc5     cvc5                                   [.] 0x00000000009f55ad
     0.71%     0.00%  cbmc     cbmc                                   [.] field_sensitivityt::apply(namespacet const&, goto_symex_statet&, exprt, bool) const
     0.71%     0.00%  cvc5     cvc5                                   [.] 0x00000000007d19cc
     0.70%     0.00%  cvc5     cvc5                                   [.] 0x00000000007c2eee
     0.69%     0.00%  cvc5     cvc5                                   [.] 0x00000000008125f3
     0.68%     0.00%  cvc5     cvc5                                   [.] 0x000000000090ba40
     0.68%     0.68%  cvc5     cvc5                                   [.] 0x000000000077f0fd
     0.68%     0.00%  cvc5     cvc5                                   [.] 0x0000000000b7f0fd
     0.68%     0.00%  cvc5     cvc5                                   [.] 0x0000000001875892
     0.67%     0.00%  cvc5     cvc5                                   [.] 0x000000000078b0d6
     0.67%     0.00%  cvc5     cvc5                                   [.] 0x000000000090a1a6
     0.67%     0.00%  cvc5     cvc5                                   [.] 0x0000000000812e5f
     0.66%     0.00%  cvc5     cvc5                                   [.] 0x000000000090a9de
     0.66%     0.00%  cvc5     cvc5                                   [.] 0x00000000009e6764
     0.66%     0.00%  cvc5     cvc5                                   [.] 0x000000000084a9b8
     0.65%     0.00%  cvc5     cvc5                                   [.] 0x00000000010627d1
     0.64%     0.00%  cvc5     cvc5                                   [.] 0x0000000001354094
     0.62%     0.00%  cvc5     cvc5                                   [.] 0x0000000001066dff
     0.61%     0.01%  cbmc     cbmc                                   [.] field_sensitivityt::get_fields(namespacet const&, goto_symex_statet&, ssa_exprt const&, bool) const
     0.60%     0.00%  cvc5     cvc5                                   [.] 0x0000000001422c9a
     0.59%     0.00%  cvc5     cvc5                                   [.] 0x00000000009e4eff
     0.59%     0.00%  cvc5     cvc5                                   [.] 0x000000000141984e
     0.59%     0.00%  cvc5     cvc5                                   [.] 0x0000000001066f49
     0.59%     0.00%  cvc5     cvc5                                   [.] 0x0000000001066eed
     0.58%     0.00%  cvc5     cvc5                                   [.] 0x0000000000a30700
     0.57%     0.00%  cvc5     cvc5                                   [.] 0x000000000120d4a8
     0.57%     0.00%  cvc5     cvc5                                   [.] 0x000000000120dccf
     0.57%     0.00%  cvc5     cvc5                                   [.] 0x0000000001a7559e
     0.57%     0.00%  cvc5     cvc5                                   [.] 0x0000000000b72485
     0.57%     0.00%  cvc5     cvc5                                   [.] 0x00000000018b9953
     0.56%     0.00%  cvc5     cvc5                                   [.] 0x00000000018b8bf6
     0.56%     0.00%  cvc5     cvc5                                   [.] 0x0000000000fcdec2
     0.55%     0.00%  cvc5     cvc5                                   [.] 0x0000000001347759
     0.55%     0.00%  cvc5     cvc5                                   [.] 0x0000000001062d91
     0.55%     0.55%  cvc5     cvc5                                   [.] 0x000000000101f376
     0.55%     0.00%  cvc5     cvc5                                   [.] 0x000000000141f376
     0.54%     0.54%  cvc5     cvc5                                   [.] 0x0000000000412588
     0.54%     0.00%  cvc5     cvc5                                   [.] 0x0000000000812588
     0.54%     0.54%  cvc5     cvc5                                   [.] 0x0000000000684c3b
     0.54%     0.00%  cvc5     cvc5                                   [.] 0x0000000000a84c3b
     0.54%     0.54%  cvc5     cvc5                                   [.] 0x00000000014b9778
     0.54%     0.00%  cvc5     cvc5                                   [.] 0x00000000018b9778
     0.54%     0.00%  cvc5     cvc5                                   [.] 0x0000000001062c01
     0.54%     0.10%  cbmc     cbmc                                   [.] jsont::jsont(jsont const&)
     0.53%     0.00%  cvc5     cvc5                                   [.] 0x00000000007e5549
     0.53%     0.00%  cbmc     cbmc                                   [.] std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> > >::_Rb_tree(std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> > > const&) (inlined)
     0.53%     0.00%  cbmc     cbmc                                   [.] std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, jsont, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> > >::map(std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, jsont, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> > > const&) (inlined)
     0.53%     0.00%  cbmc     cbmc                                   [.] std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> > >::_M_copy(std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> > > const&) (inlined)
     0.53%     0.00%  cbmc     cbmc                                   [.] std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> >* std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> > >::_Alloc_node::operator()<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> const&>(std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> const&) const (inlined)
