# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 5474956437
#
# Children      Self  Command  Shared Object            Symbol                                                                                                                                                                                         ...
# ........  ........  .......  .......................  ..................................................................................................................................................................................................
#
     5.76%     0.00%  cbmc     cbmc                     [.] merge_names(goto_statet const&, goto_symex_statet&, namespacet const&, guard_exprt const&, messaget&, bool, symex_target_equationt&, incremental_dirtyt const&, ssa_exprt const&, unsigned ...
     5.69%     0.00%  cbmc     cbmc                     [.] all_properties_verifier_with_trace_storaget<multi_path_symex_checkert>::~all_properties_verifier_with_trace_storaget()
     5.69%     0.00%  cbmc     cbmc                     [.] multi_path_symex_checkert::~multi_path_symex_checkert() (inlined)
     5.61%     1.37%  cbmc     cbmc                     [.] Minisat::Solver::addClause_(Minisat::vec<Minisat::Lit>&)
     5.40%     0.06%  cbmc     cbmc                     [.] field_sensitivityt::get_fields(namespacet const&, goto_symex_statet&, ssa_exprt const&, bool) const
     4.82%     0.00%  cbmc     cbmc                     [.] goto_symext::symex_function_call_symbol(std::function<goto_functiont const& (dstringt const&)> const&, goto_symex_statet&, exprt const&, symbol_exprt const&, std::vector<exprt, std::alloc...
     4.67%     4.67%  cbmc     cbmc                     [.] irept::operator==(irept const&) const
     4.47%     0.00%  cbmc     cbmc                     [.] goto_symext::symex_function_call_post_clean(std::function<goto_functiont const& (dstringt const&)> const&, goto_symex_statet&, exprt const&, symbol_exprt const&, std::vector<exprt, std::a...
     4.37%     0.00%  cbmc     cbmc                     [.] tree_nodet<irept, forward_list_as_mapt<dstringt, irept>, true>::~tree_nodet() (inlined)
     4.30%     0.00%  cbmc     cbmc                     [.] update_identifier(ssa_exprt&)
     4.28%     4.28%  cbmc     cbmc                     [.] std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> >* std::_Rb_tree<std::__cxx11::basic_string<char, std::char_trai...
     4.18%     0.12%  cbmc     cbmc                     [.] renamedt<exprt, (levelt)3> goto_symex_statet::rename<(levelt)3>(exprt, namespacet const&)
     3.97%     0.00%  cbmc     cbmc                     [.] irept::~irept() (inlined)
     3.97%     0.00%  cbmc     cbmc                     [.] sharing_treet<irept, forward_list_as_mapt<dstringt, irept> >::~sharing_treet() (inlined)
     3.86%     0.06%  cbmc     cbmc                     [.] string_refinementt::dec_solve(exprt const&)
     3.81%     0.00%  cbmc     cbmc                     [.] value_sett::assign(exprt const&, exprt const&, namespacet const&, bool, bool)
     3.72%     0.90%  cbmc     libstdc++.so.6.0.33      [.] std::istream::read(char*, long)
     3.66%     0.00%  cbmc     cbmc                     [.] goto_symext::parameter_assignments(dstringt const&, goto_functiont const&, goto_symex_statet&, std::vector<exprt, std::allocator<exprt> > const&)
     3.63%     0.00%  cbmc     cbmc                     [.] prop_conv_solvert::add_constraints_to_prop(exprt const&, bool)
     3.63%     0.00%  cbmc     libc.so.6                [.] 0x00007afd502aada4
     3.62%     1.14%  cbmc     cbmc                     [.] sharing_treet<irept, forward_list_as_mapt<dstringt, irept> >::detach()
     3.59%     0.00%  cbmc     cbmc                     [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) (inli...
     3.58%     0.00%  cbmc     cbmc                     [.] void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag) (inlined)
